,ProcessedText,InformationType_coarse,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,ProcessedText_BERTlarge_length,InformationType_label
14,"when a criminal becomes a threat to the society, such that they can commit heinous crimes, then they are given capital punishment.",Premise,22,"[CLS] when a criminal becomes a threat to the society, such that they can commit heinous crimes, then they are given capital punishment.",28,28,0
15,college and university do not want people who not qualify for to waste their money in these expensive courses and waste their time.,Premise,23,[CLS] college and university do not want people who not qualify for to waste their money in these expensive courses and waste their time.,25,25,0
16,and then he or she will teach me the course efficiently in a short time and therefore i will learn faster and better and won't get discouraged and confused.,Premise,29,[CLS] and then he or she will teach me the course efficiently in a short time and therefore i will learn faster and better and won't get discouraged and confused.,33,33,0
17,"firstly, during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event.",Premise,33,"[CLS] firstly, during times of war, people living in badly affected countries can forget about the gloomy environment and maintain a link with the rest of the world by listening to international sports event.",38,38,0
18,"to compare with the school life, they might suffer only a small punishment at school.",Premise,15,"[CLS] to compare with the school life, they might suffer only a small punishment at school.",18,18,0
19,"however, it can be seen that some people have argued against advertising due to its negative impacts.",None,17,"[CLS] however, it can be seen that some people have argued against advertising due to its negative impacts.",20,20,2
20,"last but not least, the internet offers a more effective and practical method of studying.",Premise,15,"[CLS] last but not least, the internet offers a more effective and practical method of studying.",18,18,0
21,"also, instant food products take only a few minutes to be made into delicious meals.",None,15,"[CLS] also, instant food products take only a few minutes to be made into delicious meals.",18,18,2
22,"for example, china has successfully promoted traditional techniques in the shanghai world expo, using a variety of state-of-the-art technological methods, such as robots and led screens.",Premise,26,"[CLS] for example, china has successfully promoted traditional techniques in the shanghai world expo, using a variety of state-of-the-art technological methods, such as robots and led screens.",37,37,0
23,"consequently, educational institutions are able to optimize costs by increasing teacher-student ratios.",Claim,12,"[CLS] consequently, educational institutions are able to optimize costs by increasing teacher-student ratios.",19,19,1
24,"for example, from the internet, students can read many articles and e-books and can watch video tutorials which provide the information more apparently.",Premise,23,"[CLS] for example, from the internet, students can read many articles and e-books and can watch video tutorials which provide the information more apparently.",30,30,0
25,"for example, watching film about terrorist children will be able to consider terrorism as a right thing.",Premise,17,"[CLS] for example, watching film about terrorist children will be able to consider terrorism as a right thing.",20,20,0
26,"for me being a developed country does not mean that we have to focus only in business, but we have to focus on what really bring us to the level of self satisfaction, and the agriculture for our country is the field that can realize that.",Premise,46,"[CLS] for me being a developed country does not mean that we have to focus only in business, but we have to focus on what really bring us to the level of self satisfaction, and the agriculture for our country is the field that can realize that.",50,50,0
27,"some people think we should focus on our jobs, but i don't agree with them.",None,15,"[CLS] some people think we should focus on our jobs, but i don't agree with them.",20,20,2
28,some students even utilize this time for preparation of their desired university course.,Premise,13,[CLS] some students even utilize this time for preparation of their desired university course.,15,15,0
29,"but as far as i am concerned, i agree with the idea, which is that there will be a decrease in cars use in the future.",MajorClaim,26,"[CLS] but as far as i am concerned, i agree with the idea, which is that there will be a decrease in cars use in the future.",30,30,3
30,"also, zoos play an important role in reserving many breeds of animal and preventing them from being missing from life.",Premise,20,"[CLS] also, zoos play an important role in reserving many breeds of animal and preventing them from being missing from life.",25,25,0
31,"in summation, people may attend university for various reasons.",None,9,"[CLS] in summation, people may attend university for various reasons.",13,13,2
32,"this would result in stress, tension and tiredness.",Premise,8,"[CLS] this would result in stress, tension and tiredness.",12,12,0
33,"when students work during these breaks, the feel of money gives them an illusion that such salary is enough for them and they go in a utopia.",Premise,27,"[CLS] when students work during these breaks, the feel of money gives them an illusion that such salary is enough for them and they go in a utopia.",30,30,0
34,"nowdays, people's choice of consumption is heavily affected by various of advertising on television, street, magazine etc.",None,17,"[CLS] nowdays, people's choice of consumption is heavily affected by various of advertising on television, street, magazine etc.",26,26,2
35,"on the other hand, the advocators believe that zoos provide the public with good entertainment and also help to ensure the balance of the ecology.",Claim,25,"[CLS] on the other hand, the advocators believe that zoos provide the public with good entertainment and also help to ensure the balance of the ecology.",32,32,1
36,i think majority of people would choose the former because it has more chance than the latter in terms of getting good jobs in the future.,Premise,26,[CLS] i think majority of people would choose the former because it has more chance than the latter in terms of getting good jobs in the future.,28,28,0
37,"for example, if an engineer needs to make a project, but he needs to deliver it tomorrow, he could save hours preparing a food with the microwave instead of cooking everything from scratch.",Premise,33,"[CLS] for example, if an engineer needs to make a project, but he needs to deliver it tomorrow, he could save hours preparing a food with the microwave instead of cooking everything from scratch.",38,38,0
38,"in conclusion, i would rather classify myself in the proponents of globalization as a speeding factor of global progress.",MajorClaim,19,"[CLS] in conclusion, i would rather classify myself in the proponents of globalization as a speeding factor of global progress.",22,22,3
39,you should have your own judgments too!,Premise,7,[CLS] you should have your own judgments too!,9,9,0
40,it is fortunate that they can struggle with these sweet worries and these worries are indeed never easy for them.,Premise,20,[CLS] it is fortunate that they can struggle with these sweet worries and these worries are indeed never easy for them.,22,22,0
41,"hence, i agree with the majority, because music is the art which requires special attitude towards it.",Premise,17,"[CLS] hence, i agree with the majority, because music is the art which requires special attitude towards it.",21,21,0
42,"as this shows, smoking restrictions has successfully daunted public from this bad puffing that put less strain on country's healthcare systems.",Premise,21,"[CLS] as this shows, smoking restrictions has successfully daunted public from this bad puffing that put less strain on country's healthcare systems.",29,29,0
43,"for example, you can change the word order or you can choose more appropriate style to sound more polite.",Premise,19,"[CLS] for example, you can change the word order or you can choose more appropriate style to sound more polite.",22,22,0
44,"not only that, the mobile phones can also be used to make calls with the companies in which they would like to work with.",Premise,24,"[CLS] not only that, the mobile phones can also be used to make calls with the companies in which they would like to work with.",27,27,0
45,i believe that it is a good idea to build a large shopping center in our community.,MajorClaim,17,[CLS] i believe that it is a good idea to build a large shopping center in our community.,19,19,3
46,undoubtedly such people do work hard and have great experiences because of their hard works.,Premise,15,[CLS] undoubtedly such people do work hard and have great experiences because of their hard works.,17,17,0
47,"despite the importance of working in team, i still believe that the capability of working independly is more significant.",MajorClaim,19,"[CLS] despite the importance of working in team, i still believe that the capability of working independly is more significant.",25,25,3
48,"furthermore, most of these juveniles are students so they would need their parents to support them financially for what they want.",Premise,21,"[CLS] furthermore, most of these juveniles are students so they would need their parents to support them financially for what they want.",24,24,0
49,"i see many things such as traffic jam, crowded people at bus stop, and all so crowded people in buses.",None,20,"[CLS] i see many things such as traffic jam, crowded people at bus stop, and all so crowded people in buses.",24,24,2
50,it divert their mind from studies and would take away their childhood phase from their life.,Claim,16,[CLS] it divert their mind from studies and would take away their childhood phase from their life.,18,18,1
51,"i prefer the serious movies which are simple, touching and powerful.",MajorClaim,11,"[CLS] i prefer the serious movies which are simple, touching and powerful.",14,14,3
52,"if a firm is environmentally conscious, it may have to make optimal use of its resources to improve its production lines and equipment, which can boost productivity.",Premise,27,"[CLS] if a firm is environmentally conscious, it may have to make optimal use of its resources to improve its production lines and equipment, which can boost productivity.",31,31,0
53,"meanwhile, for the issue of education fee, richer countries should offer scholarships and loan to the qualified students.",Claim,18,"[CLS] meanwhile, for the issue of education fee, richer countries should offer scholarships and loan to the qualified students.",22,22,1
54,"to sum up, even when we need to catch up with the pace of the world, it is necessary for us to be extraordinarily cautious since rough work is intolerable when we want to stay competitive.",Claim,36,"[CLS] to sum up, even when we need to catch up with the pace of the world, it is necessary for us to be extraordinarily cautious since rough work is intolerable when we want to stay competitive.",45,45,1
55,"if you spend your spare time at home or something like that, you can't enjoy beautiful nature.",Premise,17,"[CLS] if you spend your spare time at home or something like that, you can't enjoy beautiful nature.",22,22,0
56,"from their point of view, the fact is that there are numerous job opportunities for those who do not have the certification of university graduation, such as mechanics, sales persons, or engineers, and, furthermore, labors for graduates are in short supply.",Premise,41,"[CLS] from their point of view, the fact is that there are numerous job opportunities for those who do not have the certification of university graduation, such as mechanics, sales persons, or engineers, and, furthermore, labors for graduates are in short supply.",51,51,0
57,"for example, if a guy wants to prepare a dinner to his girlfriend, he could just buy some food that comes with instructions.",Premise,23,"[CLS] for example, if a guy wants to prepare a dinner to his girlfriend, he could just buy some food that comes with instructions.",27,27,0
58,"things ended up that he joined in a great team, while his friend who only knew financing issues can do nothing but worked in a bank.",Premise,26,"[CLS] things ended up that he joined in a great team, while his friend who only knew financing issues can do nothing but worked in a bank.",29,29,0
59,"however, i believe the booming economy can be closely linked to the preservation of the environment.",Claim,16,"[CLS] however, i believe the booming economy can be closely linked to the preservation of the environment.",19,19,1
60,"secondly, people can know more about the planet earth itself.",Claim,10,"[CLS] secondly, people can know more about the planet earth itself.",13,13,1
61,air pollution is an issue threatening the environment in many different ways such as causing holes in the ozone and affecting global heating in the negative way.,None,27,[CLS] air pollution is an issue threatening the environment in many different ways such as causing holes in the ozone and affecting global heating in the negative way.,29,29,2
62,"if people learn how should increase their speed at work by studying, they can stares in their workplace.",Premise,18,"[CLS] if people learn how should increase their speed at work by studying, they can stares in their workplace.",21,21,0
63,"also, attending to classes makes students more attentive and have them to do their studies on time that this attitude lead them to success.",Claim,24,"[CLS] also, attending to classes makes students more attentive and have them to do their studies on time that this attitude lead them to success.",29,29,1
64,"furthermore, living at home costs less than living outside.",Premise,9,"[CLS] furthermore, living at home costs less than living outside.",12,12,0
65,"as a result, they can be proselytized into bad isms.",Premise,10,"[CLS] as a result, they can be proselytized into bad isms.",16,16,0
66,"on the other side, most sports facilities except buildings are usually can be used in short-time and they are not persistent for a long-time.",Premise,24,"[CLS] on the other side, most sports facilities except buildings are usually can be used in short-time and they are not persistent for a long-time.",31,31,0
67,"it is highly recommended to put forward such solution, especially in some developing countries like vietnam or china, with the ever-growing demand for job or education.",None,26,"[CLS] it is highly recommended to put forward such solution, especially in some developing countries like vietnam or china, with the ever-growing demand for job or education.",32,32,2
68,"in order to promote the country's attractions, the czech government has to advertise and sell its services to foreign consumers.",Premise,20,"[CLS] in order to promote the country's attractions, the czech government has to advertise and sell its services to foreign consumers.",27,27,0
69,"lastly, it is more likely for us to buy goods in lower price in the shopping center, and save our time on the other hand.",Claim,25,"[CLS] lastly, it is more likely for us to buy goods in lower price in the shopping center, and save our time on the other hand.",29,29,1
70,living together develops the environment of discussing adult's physiological and psychological changes face to face with their parents.,Premise,18,[CLS] living together develops the environment of discussing adult's physiological and psychological changes face to face with their parents.,22,22,0
71,"i don't want to disavow the role of luck in success, but as you know it hardly accompany us.",Premise,19,"[CLS] i don't want to disavow the role of luck in success, but as you know it hardly accompany us.",27,27,0
72,"for toefl ibt coaching first i was depend on some online courses, but after 1 month i realized that i was wasting my time so i joined an institute for preparation of toefl ibt, and in 1 month i felt that my english skills have been improving faster.",Premise,48,"[CLS] for toefl ibt coaching first i was depend on some online courses, but after 1 month i realized that i was wasting my time so i joined an institute for preparation of toefl ibt, and in 1 month i felt that my english skills have been improving faster.",56,56,0
73,"by means of some software such as skype, msn, whatsapp we can get in touch with everybody whenever we want.",Premise,20,"[CLS] by means of some software such as skype, msn, whatsapp we can get in touch with everybody whenever we want.",28,28,0
74,"furthermore, living in such cities also means living in high crime rate areas.",Claim,13,"[CLS] furthermore, living in such cities also means living in high crime rate areas.",16,16,1
75,taking care of thousands of citizens who suffer from disease or illiteracy is more urgent and pragmatic than building theaters or sports stadiums.,Premise,23,[CLS] taking care of thousands of citizens who suffer from disease or illiteracy is more urgent and pragmatic than building theaters or sports stadiums.,29,29,0
76,"in this sense, internet is a basic tool to keep in touch with old and make new friends.",Claim,18,"[CLS] in this sense, internet is a basic tool to keep in touch with old and make new friends.",21,21,1
77,that goal has led me to my lost in interest on doing my homework and i ended up failing one subject in that semester.,Premise,24,[CLS] that goal has led me to my lost in interest on doing my homework and i ended up failing one subject in that semester.,26,26,0
78,"while some argue that the budget allocation to the arts is waste of national resources and the money should instead be spent on public services, i contend that this investment in field of the arts would be in the best interest of a society.",MajorClaim,44,"[CLS] while some argue that the budget allocation to the arts is waste of national resources and the money should instead be spent on public services, i contend that this investment in field of the arts would be in the best interest of a society.",47,47,3
79,"first of all, while working in the office, people can interact with their colleges instantly.",Claim,15,"[CLS] first of all, while working in the office, people can interact with their colleges instantly.",19,19,1
80,"in the modern society, internet is considered as one of the most important inventions over the past century.",None,18,"[CLS] in the modern society, internet is considered as one of the most important inventions over the past century.",21,21,2
81,"however, class is not the only source of knowledge.",None,9,"[CLS] however, class is not the only source of knowledge.",12,12,2
82,"some people thinks that if a child grows up in a big city they will be all day at home at the computer or at the video-game, but this is not true if you live in a neighborhood with other people about your age as i did.",Claim,47,"[CLS] some people thinks that if a child grows up in a big city they will be all day at home at the computer or at the video-game, but this is not true if you live in a neighborhood with other people about your age as i did.",52,52,1
83,"while if you ""visit"" the museum online, you may not able to get this kind of experience.",Premise,17,"[CLS] while if you ""visit"" the museum online, you may not able to get this kind of experience.",22,22,0
84,doesn't self-study more efficient?,None,4,[CLS] doesn't self-study more efficient?,10,10,2
85,it is the uniqueness of apple design that creates its own value.,Premise,12,[CLS] it is the uniqueness of apple design that creates its own value.,15,15,0
86,this narrowing of living region is pushing many creatures to the brink of extinction.,Premise,14,[CLS] this narrowing of living region is pushing many creatures to the brink of extinction.,16,16,0
87,"it is quite common that more and more people can watch exhibitions through television or internet at home due to modern technology; therefore, some people think museums and art galleries will disappear soon.",None,33,"[CLS] it is quite common that more and more people can watch exhibitions through television or internet at home due to modern technology; therefore, some people think museums and art galleries will disappear soon.",37,37,2
88,"although some argue that a meal without meat can lead to a lack of protein intake, it is proved that many kinds of bean such as soy bean or pea are also comparable protein sources.",Premise,35,"[CLS] although some argue that a meal without meat can lead to a lack of protein intake, it is proved that many kinds of bean such as soy bean or pea are also comparable protein sources.",38,38,0
89,we need to know and learn about the theoritical basis of our future job.,MajorClaim,14,[CLS] we need to know and learn about the theoritical basis of our future job.,18,18,3
90,"for instance, many good medicines cost vast amounts of money, which cannot be afforded by poorer families.",Premise,17,"[CLS] for instance, many good medicines cost vast amounts of money, which cannot be afforded by poorer families.",21,21,0
91,"on the other hand, adults often consider such behaviors as childish and drop them immediately.",Premise,15,"[CLS] on the other hand, adults often consider such behaviors as childish and drop them immediately.",18,18,0
92,"however, as those industries expand and become internationalized, people are required to equip with multiple skills to answer those challenges.",Premise,20,"[CLS] however, as those industries expand and become internationalized, people are required to equip with multiple skills to answer those challenges.",27,27,0
93,the story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot.,Premise,22,[CLS] the story delivers a desired call to drink that soft drink that people tend to drink when the weather is too hot.,24,24,0
94,"just like a song, if i did not have challenge, life would be blue.",Premise,14,"[CLS] just like a song, if i did not have challenge, life would be blue.",18,18,0
95,this is probably because students can devote more time and efforts in one subject and reduce pressure from other subjects.,Premise,20,[CLS] this is probably because students can devote more time and efforts in one subject and reduce pressure from other subjects.,22,22,0
96,"however, research done by universities proves that student's performance improves if they get regular breaks from their learning, preparation and examination schedule.",Premise,22,"[CLS] however, research done by universities proves that student's performance improves if they get regular breaks from their learning, preparation and examination schedule.",28,28,0
97,"i agree that nowadays the learning process benefits greatly from computers, but they are just tools for teachers and they cannot work properly without human's touch.",Premise,26,"[CLS] i agree that nowadays the learning process benefits greatly from computers, but they are just tools for teachers and they cannot work properly without human's touch.",31,31,0
98,i think going to classes should be optional for students for the following reasons.,MajorClaim,14,[CLS] i think going to classes should be optional for students for the following reasons.,16,16,3
99,"secondly, capital punishment is certainly not the only option to control the amount of crimes, life imprisonment is just as effective by detaining the criminals in prison for the rest of their lives.",Claim,33,"[CLS] secondly, capital punishment is certainly not the only option to control the amount of crimes, life imprisonment is just as effective by detaining the criminals in prison for the rest of their lives.",39,39,1
100,"to sum up, although mobile phones make our communication faster, it also gives rise to many social problems such as children's social skills and their mental health.",Claim,27,"[CLS] to sum up, although mobile phones make our communication faster, it also gives rise to many social problems such as children's social skills and their mental health.",33,33,1
101,"despite the convenience from up-to-date facilities, handwriting still plays a vital role in students' learning.",Claim,15,"[CLS] despite the convenience from up-to-date facilities, handwriting still plays a vital role in students' learning.",23,23,1
102,"but if the good people are not always rewarded, we will try to finish the movie or dramas to find out the end of the story.",Premise,26,"[CLS] but if the good people are not always rewarded, we will try to finish the movie or dramas to find out the end of the story.",29,29,0
103,government should be responsible for education and health care or not?,None,11,[CLS] government should be responsible for education and health care or not?,13,13,2
104,"second, when you want to translate your major, it is important to know some of the things about different fields.",Claim,20,"[CLS] second, when you want to translate your major, it is important to know some of the things about different fields.",24,24,1
105,a student can even select a specific online course based on his own preference and time schedule so he can control the learning progress and make satisfactory achievement on this course.,Premise,31,[CLS] a student can even select a specific online course based on his own preference and time schedule so he can control the learning progress and make satisfactory achievement on this course.,33,33,0
106,"in conclusion, young people tend to study or work in urban areas since these provide them many educational opportunities and career potentials.",Premise,22,"[CLS] in conclusion, young people tend to study or work in urban areas since these provide them many educational opportunities and career potentials.",26,26,0
107,"people, for instance, who don't like their co-workers and working condition are considered less satisfied with their jobs, despite of a high salary.",Premise,23,"[CLS] people, for instance, who don't like their co-workers and working condition are considered less satisfied with their jobs, despite of a high salary.",32,32,0
108,obviously these events gather people and their nationalist pride feeling is increased.,Premise,12,[CLS] obviously these events gather people and their nationalist pride feeling is increased.,14,14,0
109,this taught me how to manage time efficiently and do any job quickly and effectively.,Premise,15,[CLS] this taught me how to manage time efficiently and do any job quickly and effectively.,17,17,0
110,"to be precise, the more costly petrol is, the higher the price of necessary product: rice, meat or even vegetable.",Premise,20,"[CLS] to be precise, the more costly petrol is, the higher the price of necessary product: rice, meat or even vegetable.",26,26,0
111,the biggest advantage is that your classroom and instructor are available 24 hours a day.,Premise,15,[CLS] the biggest advantage is that your classroom and instructor are available 24 hours a day.,17,17,0
112,many people find that students at schools and universities still learn much more from lessons with teachers.,Claim,17,[CLS] many people find that students at schools and universities still learn much more from lessons with teachers.,19,19,1
113,"travelling, social life and employment are highly dependent on the flexibility of a person and there is nothing in the world that makes more flexible than an own car.",MajorClaim,29,"[CLS] travelling, social life and employment are highly dependent on the flexibility of a person and there is nothing in the world that makes more flexible than an own car.",32,32,3
114,"by attending to the same school, students can learn how to view the opposite gender in classes as a friend or a classmate.",Claim,23,"[CLS] by attending to the same school, students can learn how to view the opposite gender in classes as a friend or a classmate.",26,26,1
115,"as a result, further generations will never have the opportunity to see and study these animals.",Premise,16,"[CLS] as a result, further generations will never have the opportunity to see and study these animals.",19,19,0
116,"nowadays, technology plays an indispensable role in almost all spheres of life.",None,12,"[CLS] nowadays, technology plays an indispensable role in almost all spheres of life.",18,18,2
117,there is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion.,Premise,20,[CLS] there is the possibility that improving roads and highways does not seem to reach the major cause of traffic congestion.,22,22,0
118,"consequently, people feel pround of their country, so they keep reserving conventions.",Premise,12,"[CLS] consequently, people feel pround of their country, so they keep reserving conventions.",18,18,0
119,"in conclusion, although it is undeniable that computer is a crucial part of human life, it still has its bad side, especially for children.",MajorClaim,24,"[CLS] in conclusion, although it is undeniable that computer is a crucial part of human life, it still has its bad side, especially for children.",31,31,3
120,"in the contrary, if the public transportation is efficiently used, the amount of gasoline consuming per person will be much lower.",Premise,21,"[CLS] in the contrary, if the public transportation is efficiently used, the amount of gasoline consuming per person will be much lower.",25,25,0
121,"finally, even people who are not interested in online game can still be negatively affected by using computer too much.",Claim,20,"[CLS] finally, even people who are not interested in online game can still be negatively affected by using computer too much.",23,23,1
122,why people visit museums?,None,4,[CLS] why people visit museums?,6,6,2
123,"hence, people will have more ways to go to a place.",Premise,11,"[CLS] hence, people will have more ways to go to a place.",14,14,0
124,learning at school must be convenient for them if they speak in a way that they are used to.,Premise,19,[CLS] learning at school must be convenient for them if they speak in a way that they are used to.,21,21,0
125,they have to make decisions between so many possibilities and they are responsible for taking the consequences.,Premise,17,[CLS] they have to make decisions between so many possibilities and they are responsible for taking the consequences.,19,19,0
126,"for instance, a family formed by a woman with a housewife role who looks after the home and takes care of children and a man who brings money home can not be seen anymore in today's society.",Premise,37,"[CLS] for instance, a family formed by a woman with a housewife role who looks after the home and takes care of children and a man who brings money home can not be seen anymore in today's society.",43,43,0
127,"the purpose of education is always a controversial topic among people and society, especially in high level such as college or university.",None,22,"[CLS] the purpose of education is always a controversial topic among people and society, especially in high level such as college or university.",25,25,2
128,in both the scenario students relief themselves.,None,7,[CLS] in both the scenario students relief themselves.,9,9,2
129,"nowadays, many countries are concerned with the environment problems.",None,9,"[CLS] nowadays, many countries are concerned with the environment problems.",12,12,2
130,"firstly, health improvement is the main reason for vegetarian diet to become so popular.",Claim,14,"[CLS] firstly, health improvement is the main reason for vegetarian diet to become so popular.",17,17,1
131,"first of all, zoos are fascinating places of entertainment.",Premise,9,"[CLS] first of all, zoos are fascinating places of entertainment.",13,13,0
132,"every day, people cannot pass the day without stay in front of computer or using it.",Claim,16,"[CLS] every day, people cannot pass the day without stay in front of computer or using it.",19,19,1
133,another reason that makes learning by doing things more advantageous than learning by reading about things or listening to people talking about is that we find more motivation to continuing on learning by doing things.,Premise,35,[CLS] another reason that makes learning by doing things more advantageous than learning by reading about things or listening to people talking about is that we find more motivation to continuing on learning by doing things.,38,38,0
134,working fast yet risky has a place near the ideal goal mentioned before.,MajorClaim,13,[CLS] working fast yet risky has a place near the ideal goal mentioned before.,15,15,3
135,competition should be always based on self-improvement rule.,Claim,8,[CLS] competition should be always based on self-improvement rule.,12,12,1
136,"in the us, firearms remain the most common method of suicide, accounting for about 50 per cent.",Premise,17,"[CLS] in the us, firearms remain the most common method of suicide, accounting for about 50 per cent.",21,21,0
137,the co-workers should be cooperative with one another.,Premise,8,[CLS] the co-workers should be cooperative with one another.,12,12,0
138,"i confess that art is one of the best ways of entertaining human beings, but, with exhaust fumes and acid rain, we do not have the energy and enthusiasm to appreciate the paintings or photographs.",Premise,35,"[CLS] i confess that art is one of the best ways of entertaining human beings, but, with exhaust fumes and acid rain, we do not have the energy and enthusiasm to appreciate the paintings or photographs.",41,41,0
139,it really help to alleviate the tension.,Claim,7,[CLS] it really help to alleviate the tension.,9,9,1
140,"after classes students and not only the students will get together in building of high school, participate in different competitions.",Premise,20,"[CLS] after classes students and not only the students will get together in building of high school, participate in different competitions.",23,23,0
141,"this is especially true for people living in the city, where the only animals they normally interact with are pets like cats and dogs.",Premise,24,"[CLS] this is especially true for people living in the city, where the only animals they normally interact with are pets like cats and dogs.",27,27,0
142,"personally, i believe that the internet will pave way for a more accessible and convenient learning.",MajorClaim,16,"[CLS] personally, i believe that the internet will pave way for a more accessible and convenient learning.",20,20,3
143,"by way of conclusion, it is my belief that distance-learning will become increasingly important in the future as the pace of life increases.",MajorClaim,23,"[CLS] by way of conclusion, it is my belief that distance-learning will become increasingly important in the future as the pace of life increases.",28,28,3
144,"the whole world aims for women empowerment, and to achieve this, females should be given equal opportunities as males.",Premise,19,"[CLS] the whole world aims for women empowerment, and to achieve this, females should be given equal opportunities as males.",23,23,0
145,"some may argue that universities can support themselve well by donation or invention, but this argument is invalid.",Premise,18,"[CLS] some may argue that universities can support themselve well by donation or invention, but this argument is invalid.",23,23,0
146,"take coca cola for an example, this drinking firm is well-known as one of companies invested a major part of their money in advertising.",Premise,24,"[CLS] take coca cola for an example, this drinking firm is well-known as one of companies invested a major part of their money in advertising.",29,29,0
147,"furthermore, tourism provides a considerable number of direct and indirect jobs to the community, including retail, hotels, transport, agriculture, and in the service industry.",Premise,24,"[CLS] furthermore, tourism provides a considerable number of direct and indirect jobs to the community, including retail, hotels, transport, agriculture, and in the service industry.",32,32,0
148,that is why governmental and non-governmental organizations have been focus on being harmony and contribute to aid to poor countries.,None,20,[CLS] that is why governmental and non-governmental organizations have been focus on being harmony and contribute to aid to poor countries.,24,24,2
149,"finally, psychology knows two types of motivation.",None,7,"[CLS] finally, psychology knows two types of motivation.",10,10,2
150,"however, from my point of view, television has more bad than good because it has made people not to have conversation each other.",MajorClaim,23,"[CLS] however, from my point of view, television has more bad than good because it has made people not to have conversation each other.",27,27,3
151,it is always said that competition can effectively promote the development of economy.,None,13,[CLS] it is always said that competition can effectively promote the development of economy.,15,15,2
152,"equally important, the capacity to plan and organize also help young people to eliminate the crisis in their actions, which may ruin one's whole effort over a very long time.",Claim,30,"[CLS] equally important, the capacity to plan and organize also help young people to eliminate the crisis in their actions, which may ruin one's whole effort over a very long time.",36,36,1
153,luck is something intangible and no one can guarantee that it would ever come your way.,Premise,16,[CLS] luck is something intangible and no one can guarantee that it would ever come your way.,20,20,0
154,"to conclude, capital punishment is a form of legalized revenge, it is an easy way for serious crimes, and nobody has rights to take others life; thus, it neither demines crimes of violence nor be essential to control violence in society.",Claim,41,"[CLS] to conclude, capital punishment is a form of legalized revenge, it is an easy way for serious crimes, and nobody has rights to take others life; thus, it neither demines crimes of violence nor be essential to control violence in society.",50,50,1
155,"despite the importance of helping those beyond our national borders, it is reasonable to lend a hand to our fellow citizens.",Claim,21,"[CLS] despite the importance of helping those beyond our national borders, it is reasonable to lend a hand to our fellow citizens.",24,24,1
156,its a debatable issue whether universities should accept equal number of males and females in a course or not.,None,19,[CLS] its a debatable issue whether universities should accept equal number of males and females in a course or not.,23,23,2
