,ProcessedText,InformationType_coarse,ProcessedText_length,ProcessedText_BERT,ProcessedText_BERTbase_length,ProcessedText_BERTlarge_length,InformationType_label
19,"first of all, there are people who play a role and cheat the other individuals with their playing, therefore we have to be aware to never judge with their appearance.",Premise,30,"[CLS] first of all, there are people who play a role and cheat the other individuals with their playing, therefore we have to be aware to never judge with their appearance.",34,34,0
20,"if they continue to behave in such a way, it will create a misleading image to young people who may think that extraordinary life can be achieved without hard work.",Premise,30,"[CLS] if they continue to behave in such a way, it will create a misleading image to young people who may think that extraordinary life can be achieved without hard work.",33,33,0
21,if you are always facing excessive stress you cannot care for your beloved's.,Premise,13,[CLS] if you are always facing excessive stress you cannot care for your beloved's.,17,17,0
22,"however, advertising is not the only information source for people.",Premise,10,"[CLS] however, advertising is not the only information source for people.",13,13,0
23,internet has aided to assess the young generations to the cultural identity of many nations from all around the world.,Premise,20,[CLS] internet has aided to assess the young generations to the cultural identity of many nations from all around the world.,22,22,0
24,it divert their mind from studies and would take away their childhood phase from their life.,Claim,16,[CLS] it divert their mind from studies and would take away their childhood phase from their life.,18,18,1
25,school has been applying traditional teaching procedure since for ages.,Claim,10,[CLS] school has been applying traditional teaching procedure since for ages.,12,12,1
26,this means individuals who were engaged in work and therefore could not spare time to travel or restricted by traffic conditions had to miss the chance to appreciate the traditional skills.,Premise,31,[CLS] this means individuals who were engaged in work and therefore could not spare time to travel or restricted by traffic conditions had to miss the chance to appreciate the traditional skills.,33,33,0
27,"accordingly, with sales promotion, it is easy for consumers to compare the price of the same merchandise before they buy.",Premise,20,"[CLS] accordingly, with sales promotion, it is easy for consumers to compare the price of the same merchandise before they buy.",24,24,0
28,"to summarize, i strongly agree that budgets should be allocated more on medical care and education rather than on building entertaining facilities, because the former is more essential, non-profit oriented to the public and can be accessed by the majority of citizens.",MajorClaim,42,"[CLS] to summarize, i strongly agree that budgets should be allocated more on medical care and education rather than on building entertaining facilities, because the former is more essential, non-profit oriented to the public and can be accessed by the majority of citizens.",51,51,3
29,the first reason why education and preventative measures should receive a greater budget is the potential improvements in health system.,Premise,20,[CLS] the first reason why education and preventative measures should receive a greater budget is the potential improvements in health system.,23,23,0
30,exercising not only reduce my stress but also make me get a good health.,Premise,14,[CLS] exercising not only reduce my stress but also make me get a good health.,16,16,0
31,"as you see, she is doing exercise without spending a cent.",Premise,11,"[CLS] as you see, she is doing exercise without spending a cent.",14,14,0
32,many old traditionally cultural things have long gone as a result of modern technology.,Claim,14,[CLS] many old traditionally cultural things have long gone as a result of modern technology.,16,16,1
33,businesses should be only concerned about making profits.,None,8,[CLS] businesses should be only concerned about making profits.,10,10,2
34,the message is when you always studying harder than others you will get best results.,Premise,15,[CLS] the message is when you always studying harder than others you will get best results.,17,17,0
35,"to begin with, it is vital that professors should assist students to acquire knowledge.",Premise,14,"[CLS] to begin with, it is vital that professors should assist students to acquire knowledge.",17,17,0
36,"for instance, housework is very difficult for me, although my husband helps me some of them, but it is my responsibility.",Premise,21,"[CLS] for instance, housework is very difficult for me, although my husband helps me some of them, but it is my responsibility.",27,27,0
37,"moreover, government cannot equalize the price of creation of modern artist because there is no certain parameter to value it, art value is about taste.",Premise,25,"[CLS] moreover, government cannot equalize the price of creation of modern artist because there is no certain parameter to value it, art value is about taste.",30,30,0
38,"at schools, students' development has been orchestrated stage by stage, step by step by experienced teachers, and their acquisition of knowledge is guided and backed up in a systematic way.",Premise,30,"[CLS] at schools, students' development has been orchestrated stage by stage, step by step by experienced teachers, and their acquisition of knowledge is guided and backed up in a systematic way.",36,36,0
39,this truly makes me more competitive than my colleagues.,Premise,9,[CLS] this truly makes me more competitive than my colleagues.,11,11,0
40,"driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so, and accordingly, charging them extra fee might seems to be out of the jurisdiction.",Claim,34,"[CLS] driving cars during the rush hours might is bound to polluting cities's environment, but laws protect drivers to do so, and accordingly, charging them extra fee might seems to be out of the jurisdiction.",42,42,1
41,"in highly industrialized countries, undertakings are made to make it accessible and affordable to all.",None,15,"[CLS] in highly industrialized countries, undertakings are made to make it accessible and affordable to all.",20,20,2
42,"last but not least, watching too much television people will unconsciously learn bad behavior that sow division among human.",Claim,19,"[CLS] last but not least, watching too much television people will unconsciously learn bad behavior that sow division among human.",24,24,1
43,"specifically, people who work in professional fields such as medicals are required to have a university degree and years of experience.",Premise,21,"[CLS] specifically, people who work in professional fields such as medicals are required to have a university degree and years of experience.",25,25,0
44,"some people believe that paying tax is the only responsibility of citizens, while others disagree and think that being a person in society involves more responsibilities.",None,26,"[CLS] some people believe that paying tax is the only responsibility of citizens, while others disagree and think that being a person in society involves more responsibilities.",29,29,2
45,one is that it worsens the air pollution by releasing the excessive exhaust emission.,Premise,14,[CLS] one is that it worsens the air pollution by releasing the excessive exhaust emission.,17,17,0
46,it is inevitable to be exposed to the environment full of advertisements but it does not mean that our right to choose is taken away.,None,25,[CLS] it is inevitable to be exposed to the environment full of advertisements but it does not mean that our right to choose is taken away.,27,27,2
47,and i never did encounter any disappointments of missing my goals.,Premise,11,[CLS] and i never did encounter any disappointments of missing my goals.,14,14,0
48,"decade after decade, every day, scientists discover magnificent devices in the field of it, such as interactive boards, multicore computers and laptops, tablets, which have an incredible resolution and also mobile phones, which have the power of a computer.",None,39,"[CLS] decade after decade, every day, scientists discover magnificent devices in the field of it, such as interactive boards, multicore computers and laptops, tablets, which have an incredible resolution and also mobile phones, which have the power of a computer.",50,50,2
49,i would explore my primary reasons here.,None,7,[CLS] i would explore my primary reasons here.,9,9,2
50,"in conclusion, watch a football match on television it is comfortable and pleasing, but watching the match live at the stadium is more enjoyable.",MajorClaim,24,"[CLS] in conclusion, watch a football match on television it is comfortable and pleasing, but watching the match live at the stadium is more enjoyable.",28,28,3
51,also several holidays aid these students to not only amuse themselves but also arrange fund and materials such as books and references material for their upcoming course.,Premise,27,[CLS] also several holidays aid these students to not only amuse themselves but also arrange fund and materials such as books and references material for their upcoming course.,30,30,0
52,"for example, two days ago, i went to a canadian restaurant, and i ate noodle, sushi, which are chinese foods, and greek salad.",Premise,23,"[CLS] for example, two days ago, i went to a canadian restaurant, and i ate noodle, sushi, which are chinese foods, and greek salad.",33,33,0
53,"students can have opportunity to learn, to practice, to gain more knowledge for their career and for their future.",Claim,19,"[CLS] students can have opportunity to learn, to practice, to gain more knowledge for their career and for their future.",23,23,1
54,"as a lover of travel, a quintessence of any visit to an excellent museum of a new place would be the best part of a tour, which can be explained by the following reasons.",MajorClaim,34,"[CLS] as a lover of travel, a quintessence of any visit to an excellent museum of a new place would be the best part of a tour, which can be explained by the following reasons.",41,41,3
55,it is certainly true that some languages are disappearing day by day over the world.,None,15,[CLS] it is certainly true that some languages are disappearing day by day over the world.,17,17,2
56,this is where the computer proves to be incompetent.,Premise,9,[CLS] this is where the computer proves to be incompetent.,14,14,0
57,they cheat young ages because they believe they are immature and they can trap them easily.,Premise,16,[CLS] they cheat young ages because they believe they are immature and they can trap them easily.,18,18,0
58,"nevertheless, i believe that creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances.",Claim,25,"[CLS] nevertheless, i believe that creating an enjoyable working environment is more realistic and essential if one wishes an increase in productivity and better employee performances.",28,28,1
59,"moreover, government cannot equalize the price of creation of modern artist because there is no certain parameter to value it, art value is about taste.",Claim,25,"[CLS] moreover, government cannot equalize the price of creation of modern artist because there is no certain parameter to value it, art value is about taste.",30,30,1
60,"speaking loudly on the phone in public areas, such as schools, libraries and hospitals appears to be very impolite and offensive.",Premise,21,"[CLS] speaking loudly on the phone in public areas, such as schools, libraries and hospitals appears to be very impolite and offensive.",27,27,0
61,the sky is the limit; there are all kinds of personality out there.,None,13,[CLS] the sky is the limit; there are all kinds of personality out there.,16,16,2
62,"on the other hand, in order to avoid the conflicts between foreigners and locals, people are trying to understand different culture and find solutions.",Claim,24,"[CLS] on the other hand, in order to avoid the conflicts between foreigners and locals, people are trying to understand different culture and find solutions.",28,28,1
63,"additionally, there is a fact that one can improve health conditions with everyday physical activity: gradually, step by step we change physical condition to better.",Premise,25,"[CLS] additionally, there is a fact that one can improve health conditions with everyday physical activity: gradually, step by step we change physical condition to better.",30,30,0
64,"in the past, focusing on one skill was enough to deal with the problems because every industry was rather small in size and simple to manage.",Premise,26,"[CLS] in the past, focusing on one skill was enough to deal with the problems because every industry was rather small in size and simple to manage.",29,29,0
65,"although there are good arguments in favour of this trend should be encouraged, i personally think that cheap flight can make many serious problem.",MajorClaim,24,"[CLS] although there are good arguments in favour of this trend should be encouraged, i personally think that cheap flight can make many serious problem.",27,27,3
66,the idea of free of charge education inspires those scholars who really want to put their efforts and get a degree from best universities.,Claim,24,[CLS] the idea of free of charge education inspires those scholars who really want to put their efforts and get a degree from best universities.,27,27,1
67,"nowadays, there is a prevailing opinion that human needs for farmland, housing and industry are more important than saving land for endangered animals.",MajorClaim,23,"[CLS] nowadays, there is a prevailing opinion that human needs for farmland, housing and industry are more important than saving land for endangered animals.",27,27,3
68,this unfortunate event proves that no matter how much careful we are such accidents are inevitable.,Premise,16,[CLS] this unfortunate event proves that no matter how much careful we are such accidents are inevitable.,18,18,0
69,"considering all the benefits, i would choose to live in a big city.",MajorClaim,13,"[CLS] considering all the benefits, i would choose to live in a big city.",16,16,3
70,"first, in childhood most people are happier than in adulthood.",Claim,10,"[CLS] first, in childhood most people are happier than in adulthood.",13,13,1
71,"concerning that elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society, government should guarantee that all people have equal and convenient access to it.",Premise,35,"[CLS] concerning that elementary education, like the base of a architecture, is the fundamental requirement to be a qualified citizen in today's society, government should guarantee that all people have equal and convenient access to it.",42,42,0
72,"we have large streets but few cars, so we can move easily to anywhere.",Premise,14,"[CLS] we have large streets but few cars, so we can move easily to anywhere.",17,17,0
73,"with newly developing technologies, people are able to carry various tasks more convenient and easy.",None,15,"[CLS] with newly developing technologies, people are able to carry various tasks more convenient and easy.",18,18,2
74,"on the other hand, some people oppose the argument, saying it is a waste of public money for the government to subsidize health care and education of each citizen in society, since a great number of people, in fact, have had the capacity to pay for the both privately.",Premise,49,"[CLS] on the other hand, some people oppose the argument, saying it is a waste of public money for the government to subsidize health care and education of each citizen in society, since a great number of people, in fact, have had the capacity to pay for the both privately.",59,59,0
75,"as a result, rarely do people go out of their comfot zone, provided with snack and air conditioner, to assemble with others in flesh.",Claim,24,"[CLS] as a result, rarely do people go out of their comfot zone, provided with snack and air conditioner, to assemble with others in flesh.",32,32,1
76,that goal has led me to my lost in interest on doing my homework and i ended up failing one subject in that semester.,Premise,24,[CLS] that goal has led me to my lost in interest on doing my homework and i ended up failing one subject in that semester.,26,26,0
77,"instead of this, some expensive vehicles cause a huge amount of pollution.",Premise,12,"[CLS] instead of this, some expensive vehicles cause a huge amount of pollution.",15,15,0
78,the directors manage employers and give them the deadline of projects.,Premise,11,[CLS] the directors manage employers and give them the deadline of projects.,13,13,0
79,"however, according to my limited understanding, i just doubt the credibility of that saying owing to its imprudence.",None,18,"[CLS] however, according to my limited understanding, i just doubt the credibility of that saying owing to its imprudence.",24,24,2
80,"another important thing to consider is that the teacher should be well-trained in the use of this specific language, so quality education will be delivered.",Premise,25,"[CLS] another important thing to consider is that the teacher should be well-trained in the use of this specific language, so quality education will be delivered.",30,30,0
81,outdoor activities not only improves my health but also gives me chances to communicate with more people.,Claim,17,[CLS] outdoor activities not only improves my health but also gives me chances to communicate with more people.,19,19,1
82,"second, i think watching television programs makes us lazy.",Claim,9,"[CLS] second, i think watching television programs makes us lazy.",12,12,1
83,"for example, rental bicycle system has been introduced in several european countries.",Premise,12,"[CLS] for example, rental bicycle system has been introduced in several european countries.",15,15,0
84,schools could produce intellectual students because school have teachers who are always improve their quality from evaluation made by students.,Premise,20,[CLS] schools could produce intellectual students because school have teachers who are always improve their quality from evaluation made by students.,22,22,0
85,"it is clearly understood that farming, housing and industry provide us the food we eat, place we live, clothes we wear, which are essential to live.",Premise,26,"[CLS] it is clearly understood that farming, housing and industry provide us the food we eat, place we live, clothes we wear, which are essential to live.",32,32,0
86,it is adverse to the whole academic field.,Premise,8,[CLS] it is adverse to the whole academic field.,10,10,0
87,"secondly, scientific research provide several authentic survey of the students' performance after break.",None,13,"[CLS] secondly, scientific research provide several authentic survey of the students' performance after break.",17,17,2
88,this will yield positive results on not only the people's physical and mental development but also their finance.,Claim,18,[CLS] this will yield positive results on not only the people's physical and mental development but also their finance.,22,22,1
89,"by making teamwork, the children in schools may learn to how to get along with others.",Premise,16,"[CLS] by making teamwork, the children in schools may learn to how to get along with others.",20,20,0
90,most of them have to allocate the money if they doing other purchase.,Premise,13,[CLS] most of them have to allocate the money if they doing other purchase.,17,17,0
91,this experience teach me to aware my health.,Premise,8,[CLS] this experience teach me to aware my health.,10,10,0
92,"in addition to that, the students will become more independent and it will build their characters in the marketplace as well.",Premise,21,"[CLS] in addition to that, the students will become more independent and it will build their characters in the marketplace as well.",24,24,0
93,only through traditional games can children be ensured a positive and healthy skills learning process.,Claim,15,[CLS] only through traditional games can children be ensured a positive and healthy skills learning process.,17,17,1
94,"some religion, such as buddha, believes that animals were human being in their previous life, so eating their meat mean you eat the flesh of your parent sentient beings.",Premise,29,"[CLS] some religion, such as buddha, believes that animals were human being in their previous life, so eating their meat mean you eat the flesh of your parent sentient beings.",35,35,0
95,"the contribution of the mobile phone to our modern society is prominent and people's dependence on it is irreversible, although it has a number of problems that should be well handled.",MajorClaim,31,"[CLS] the contribution of the mobile phone to our modern society is prominent and people's dependence on it is irreversible, although it has a number of problems that should be well handled.",39,39,3
96,"in today's context, education is the most significant factor which ultimately determines one's future.",None,14,"[CLS] in today's context, education is the most significant factor which ultimately determines one's future.",21,21,2
97,he has to spend his most of time in school to get a good grades.,Premise,15,[CLS] he has to spend his most of time in school to get a good grades.,17,17,0
98,do you think they have built by chance?,None,8,[CLS] do you think they have built by chance?,10,10,2
99,"however, if you aren't extremely dedicated or have good time management skills, it may be very difficult to complete a course at home.",Premise,23,"[CLS] however, if you aren't extremely dedicated or have good time management skills, it may be very difficult to complete a course at home.",29,29,0
100,"when choosing a job, one need to consider it thoroughly.",None,10,"[CLS] when choosing a job, one need to consider it thoroughly.",13,13,2
101,i tend to agree with this view.,None,7,[CLS] i tend to agree with this view.,9,9,2
102,"if students want to get used to the society quickly, it is better for parents to encourage them to take part-time jobs.",MajorClaim,22,"[CLS] if students want to get used to the society quickly, it is better for parents to encourage them to take part-time jobs.",27,27,3
103,"many hardworking people have diseases, like the burn-out syndrome, because their bodies cannot hold the pace.",Premise,16,"[CLS] many hardworking people have diseases, like the burn-out syndrome, because their bodies cannot hold the pace.",23,23,0
104,it can be said that the improvement of medical care makes a better life for all people.,Claim,17,[CLS] it can be said that the improvement of medical care makes a better life for all people.,19,19,1
105,"the first reason why people are willing to visit museums when they travel to a new territory is that museums provide a tremendous amount of information about different aspects of the history and culture of that place, as i said back.",Claim,41,"[CLS] the first reason why people are willing to visit museums when they travel to a new territory is that museums provide a tremendous amount of information about different aspects of the history and culture of that place, as i said back.",44,44,1
106,it is of importance that workers should be well educated and trained to perform duties of their job.,Premise,18,[CLS] it is of importance that workers should be well educated and trained to perform duties of their job.,20,20,0
107,"secondly, it is crucial to keep ones identity for they need a connection back to their country as well as teach their children their value of origin.",Premise,27,"[CLS] secondly, it is crucial to keep ones identity for they need a connection back to their country as well as teach their children their value of origin.",30,30,0
108,"finally, conservation leads us to a higher standard of living.",Claim,10,"[CLS] finally, conservation leads us to a higher standard of living.",13,13,1
109,another great thing about being a child is possibility learning new and interesting things about the world you live in every single day.,Premise,23,[CLS] another great thing about being a child is possibility learning new and interesting things about the world you live in every single day.,25,25,0
110,"the first and foremost reason is that with the development of science and technology, more advanced kitchen facilities, such as the modern microwaves or the advanced pressure cookers, have been created and invented to help people prepare and cook food in a very short time.",Premise,45,"[CLS] the first and foremost reason is that with the development of science and technology, more advanced kitchen facilities, such as the modern microwaves or the advanced pressure cookers, have been created and invented to help people prepare and cook food in a very short time.",52,52,0
111,"for instance, discovery channel has many instructive episodes.",Premise,8,"[CLS] for instance, discovery channel has many instructive episodes.",13,13,0
112,"however, the relationship you need to maintain with your co-worker is the most important one since he or she is the person who works very closely with you, and in most instances you have to rely on him or her.",None,40,"[CLS] however, the relationship you need to maintain with your co-worker is the most important one since he or she is the person who works very closely with you, and in most instances you have to rely on him or her.",46,46,2
113,"moreover, they bring about students to be happier and to have more fun and entertainments.",Claim,15,"[CLS] moreover, they bring about students to be happier and to have more fun and entertainments.",19,19,1
114,here are my reasons.,None,4,[CLS] here are my reasons.,6,6,2
115,"first of all, traditional skills and ways belong to value of culture.",Claim,12,"[CLS] first of all, traditional skills and ways belong to value of culture.",15,15,1
116,it is a completely right and extremely wise policy to focus on health education and preventative measures rather than treatment.,MajorClaim,20,[CLS] it is a completely right and extremely wise policy to focus on health education and preventative measures rather than treatment.,23,23,3
117,the global economic conditions in these days are tough and there are many unpredictable factors that make it necessary to have some money on your bank account.,Claim,27,[CLS] the global economic conditions in these days are tough and there are many unpredictable factors that make it necessary to have some money on your bank account.,29,29,1
118,"according to national safety council, riding the bus is over 170 times safer than private care.",Premise,16,"[CLS] according to national safety council, riding the bus is over 170 times safer than private care.",19,19,0
119,"admittedly, art, to some extent, serve a valuable function about enriching one's daily lives, for example, it could bring release one's heavy burden of study pressure and refresh human bodies through a hard day from work.",Premise,36,"[CLS] admittedly, art, to some extent, serve a valuable function about enriching one's daily lives, for example, it could bring release one's heavy burden of study pressure and refresh human bodies through a hard day from work.",51,51,0
120,people have various different views about cheap air travel.,None,9,[CLS] people have various different views about cheap air travel.,11,11,2
121,"for instance, bangladeshi writer taslima nasrin was accused of acting against the government, just because she raised a social issue.",Premise,20,"[CLS] for instance, bangladeshi writer taslima nasrin was accused of acting against the government, just because she raised a social issue.",27,27,0
122,"therefore in my view, a good co-worker needs to have three most important characteristics such as cooperation, trustworthiness, and fellowship.",MajorClaim,20,"[CLS] therefore in my view, a good co-worker needs to have three most important characteristics such as cooperation, trustworthiness, and fellowship.",29,29,3
123,"thirdly, many culture, people have many ways to entertain themselves.",Premise,10,"[CLS] thirdly, many culture, people have many ways to entertain themselves.",15,15,0
124,you can study any time you want.,Premise,7,[CLS] you can study any time you want.,9,9,0
125,"that is, watching television alone at home, my friend lost the opportunity to increase cohesion between us.",Premise,17,"[CLS] that is, watching television alone at home, my friend lost the opportunity to increase cohesion between us.",22,22,0
126,reading about things or listening to people talking about can rarely submit the same sensation or the same excitement to some one who wants to learn about the same thing.,Premise,30,[CLS] reading about things or listening to people talking about can rarely submit the same sensation or the same excitement to some one who wants to learn about the same thing.,32,32,0
127,"thirdly, i totally believe parents love their sons or daughters unconditionally.",Premise,11,"[CLS] thirdly, i totally believe parents love their sons or daughters unconditionally.",18,18,0
128,"at younger age people are less likely to get a high paying job, so it can be a difficult task to pay for rent, food, utilities and other expenses to sustain yourself.",Premise,32,"[CLS] at younger age people are less likely to get a high paying job, so it can be a difficult task to pay for rent, food, utilities and other expenses to sustain yourself.",37,37,0
129,this would pose a large threat to the ecology and environment.,Premise,11,[CLS] this would pose a large threat to the ecology and environment.,13,13,0
130,it is natural they behave in that way because television shows don't require any participation.,Premise,15,[CLS] it is natural they behave in that way because television shows don't require any participation.,19,19,0
131,one of this resource is television; however television has some negative effects among some people.,None,15,[CLS] one of this resource is television; however television has some negative effects among some people.,18,18,2
132,on the contrary they cannot do so in case of a bus.,Premise,12,[CLS] on the contrary they cannot do so in case of a bus.,14,14,0
133,"at this circumstances, they would surf on the internet for hours and end up no where.",Premise,16,"[CLS] at this circumstances, they would surf on the internet for hours and end up no where.",19,19,0
134,should teachers be paid according to how much their students learn?,None,11,[CLS] should teachers be paid according to how much their students learn?,13,13,2
135,"in my point of view, though competitive child would have more motivation and perspective that leads them to success, but it would not help them much once they enter to society or company which required more about skill of team work.",Claim,41,"[CLS] in my point of view, though competitive child would have more motivation and perspective that leads them to success, but it would not help them much once they enter to society or company which required more about skill of team work.",45,45,1
136,methods which their ancestors used in the past will be displayed again for new generations.,Premise,15,[CLS] methods which their ancestors used in the past will be displayed again for new generations.,17,17,0
137,for instance employers need male candidates for the heavy work such as repairing and installation of heavy machine.,Premise,18,[CLS] for instance employers need male candidates for the heavy work such as repairing and installation of heavy machine.,20,20,0
138,"if you did, it was probably at a zoo.",None,9,"[CLS] if you did, it was probably at a zoo.",12,12,2
139,they start to pay attention to mental requirement like happiness.,None,10,[CLS] they start to pay attention to mental requirement like happiness.,12,12,2
140,thus this makes it clear that sustaining the cultural values of immigrants is paramount essential.,Claim,15,[CLS] thus this makes it clear that sustaining the cultural values of immigrants is paramount essential.,17,17,1
141,"as an example, i got too much stress from the school.",Premise,11,"[CLS] as an example, i got too much stress from the school.",14,14,0
142,some details might be dim since the resolution ratio of the screen is not high enough.,Premise,16,[CLS] some details might be dim since the resolution ratio of the screen is not high enough.,18,18,0
143,"at the same time, children have the chance to experience the state-of-the-art technology, raising their awareness of innovation rather than stay conservative.",Premise,22,"[CLS] at the same time, children have the chance to experience the state-of-the-art technology, raising their awareness of innovation rather than stay conservative.",32,32,0
144,"when using public transportation, we have a chance to meet more people and more chances to discovery new aspects of life.",Premise,21,"[CLS] when using public transportation, we have a chance to meet more people and more chances to discovery new aspects of life.",24,24,0
145,another debatable problem is about techniques.,None,6,[CLS] another debatable problem is about techniques.,10,10,2
146,there are few of those who are concerned think the current practice should be altered and that the juries should at least know something about the criminals before coming to a conclusion.,MajorClaim,32,[CLS] there are few of those who are concerned think the current practice should be altered and that the juries should at least know something about the criminals before coming to a conclusion.,35,35,3
147,"for instance, i had received some harmful words on facebook from my best friend, eric.",Premise,15,"[CLS] for instance, i had received some harmful words on facebook from my best friend, eric.",19,19,0
148,it is argued that the government should exercise less restriction on sharing of media information to public.,None,17,[CLS] it is argued that the government should exercise less restriction on sharing of media information to public.,19,19,2
149,"firstly, day by day population is increasing, so human needs for food is increasing as well.",Premise,16,"[CLS] firstly, day by day population is increasing, so human needs for food is increasing as well.",20,20,0
150,"since i was all alone at home for a long time, my dog was near me and it seemed to me that only him could understand my deeply feelings.",Premise,29,"[CLS] since i was all alone at home for a long time, my dog was near me and it seemed to me that only him could understand my deeply feelings.",32,32,0
151,"i personally prefer studying in a group due to these noticeable features, getting help from other students, improving my attitude for learning, managing my time in an effective way.",MajorClaim,29,"[CLS] i personally prefer studying in a group due to these noticeable features, getting help from other students, improving my attitude for learning, managing my time in an effective way.",34,34,3
152,"in addition, it will be of economic benefit to pre-empt certain kinds of diseases.",Claim,14,"[CLS] in addition, it will be of economic benefit to pre-empt certain kinds of diseases.",20,20,1
153,undoubtedly this is an era of internet which impacts one's personal as well as professional life.,None,16,[CLS] undoubtedly this is an era of internet which impacts one's personal as well as professional life.,20,20,2
154,perhaps the most serious problem facing the animals' rights today is animal experimentation.,None,13,[CLS] perhaps the most serious problem facing the animals' rights today is animal experimentation.,16,16,2
155,"to sum up both contentions about the necessity of universities' education have reasonable justifications; however, i agree with the latter view.",None,21,"[CLS] to sum up both contentions about the necessity of universities' education have reasonable justifications; however, i agree with the latter view.",28,28,2
156,"as far as i am concerned, i agree with the view that the teacher is the best option for children's education in some aspects.",MajorClaim,24,"[CLS] as far as i am concerned, i agree with the view that the teacher is the best option for children's education in some aspects.",29,29,3
157,"when i found the chance of studying in a group with my classmates, i wished i can go back in time and took all my exams again.",None,27,"[CLS] when i found the chance of studying in a group with my classmates, i wished i can go back in time and took all my exams again.",30,30,2
158,"for another example, financial crimes are rampant in the 21st century, thus surging up demands for those who excel at both laws and financial management.",Premise,25,"[CLS] for another example, financial crimes are rampant in the 21st century, thus surging up demands for those who excel at both laws and financial management.",30,30,0
159,"in addition, job can provide money to us.",Claim,8,"[CLS] in addition, job can provide money to us.",11,11,1
160,"as far as my opinion is concerned, i find myself aligned with opponents of the usages of nuclear power.",MajorClaim,19,"[CLS] as far as my opinion is concerned, i find myself aligned with opponents of the usages of nuclear power.",23,23,3
161,those activities have proven that women can also do the men's works.,Premise,12,[CLS] those activities have proven that women can also do the men's works.,16,16,0
162,from then i learned to be economical and now i have every thing i wanted.,Premise,15,[CLS] from then i learned to be economical and now i have every thing i wanted.,17,17,0
